id,group,age,city,salary,active
1,The Avengers,26,Ringinrejo,23032,true
2,Squadron X,95,Kalapagada,96167,true
3,The Avengers,4,Āstārā,77702,false
4,Group 1,73,Digdig,23447,false
5,Team A,98,Doujia,28282,false
6,Group 1,35,Jiangluo,34122,true
7,Squadron X,67,La Victoria,50085,false
8,Team A,79,Sacanta,66772,false
9,The Avengers,66,Shawnee Mission,56049,false
10,,25,Yefremov,83761,true
11,Squadron X,52,Gudang,77464,false
12,Team A,64,Lihu,94059,true
13,The Avengers,99,Santa Rita,88344,true
14,Team A,32,Eira da Pedra,71191,true
15,Squadron X,1,Karangdalam,35983,true
16,Group 1,10,Torre,84055,true
17,Squadron X,21,Chandmanĭ,71000,false
18,Squadron X,99,Karlstad,35711,false
19,Team A,55,Portalegre,74595,true
20,Team A,9,Cikarang,94735,true
21,Team A,33,Cawayan,63789,false
22,Group 1,25,Zelenograd,,false
23,Team A,51,Tejen,34231,false
24,Squadron X,1,Chantilly,31593,true
25,Group 1,95,Torsås,27597,true
26,Group 1,68,Fenoarivo Be,37883,true
27,The Avengers,33,Cabrobó,37511,false
28,Group 1,47,Zhanbei,52490,false
29,Squadron X,92,Shijiazhuang,27530,false
30,Team A,71,Turmi,37111,false
31,The Avengers,82,Sheffield,99414,false
32,Squadron X,81,Al Quşayr,44384,true
33,Group 1,65,Washington,80215,false
34,Team A,90,Gandu,84011,false
35,The Avengers,14,Huangtian,80926,true
36,The Avengers,79,Dębe Wielkie,81166,true
37,Squadron X,26,Severobaykal’sk,86098,true
38,The Avengers,94,Amouguer,94853,true
39,Team A,71,Siemkowice,22041,true
40,Team A,40,Puqian,35666,false
41,The Avengers,31,Mitsuke,41993,false
42,The Avengers,94,Ash Shiḩr,20794,
43,Squadron X,88,Otradnoye,94232,false
44,Squadron X,51,Hradec nad Moravici,,false
45,Team A,22,Xinzhan,31332,false
46,Team A,34,Sangzhou,87984,false
47,Team A,72,Lijie,77577,true
48,Group 1,1,Portão,44827,true
49,Group 1,70,Dhidhdhoo,49244,true
50,Squadron X,59,Panjing,51943,true
51,Squadron X,71,Obolo-Eke (1),23976,true
52,,5,Hukeng,32324,true
53,Squadron X,58,Martingança,91940,false
54,Group 1,9,Makungu,34114,false
55,Group 1,16,Leiria,58507,false
56,Group 1,88,Kuala Lumpur,78766,false
57,Team A,33,Aldeia,94211,false
58,The Avengers,99,Al Mughayyir,58862,false
59,The Avengers,62,Port Moody,58319,false
60,Team A,44,Okrouhlice,92789,true
61,Group 1,2,Chashnikovo,96824,false
62,Squadron X,37,São Bento do Sul,55743,true
63,Team A,31,Töysä,,false
64,Squadron X,30,Honghualiangzi,47230,false
65,Squadron X,1,Puputan,64824,true
66,Team A,97,Caieiras,73805,
67,,97,Staré Město,69914,false
68,Team A,72,Gongdanglegi Kulon,67652,false
69,Team A,98,Gouqi,83007,false
70,Team A,98,Bielawy,72266,false
71,Team A,9,Strzelce,56708,
72,Group 1,81,Homa Bay,22381,false
73,Team A,38,Botucatu,53312,false
74,,86,Tuti,83898,true
75,Group 1,63,Oitui,48975,true
76,Team A,49,Santana do Livramento,67960,false
77,Team A,3,Fengshan,78620,false
78,The Avengers,93,Chengnan,,false
79,Team A,3,Obsharovka,,true
80,Group 1,82,Sindanghayu,39023,true
81,Team A,66,Yaguajay,30301,
82,Team A,61,Xinghe Chengguanzhen,97211,false
83,Squadron X,65,Sexmoan,60775,true
84,,62,Rumphi,70907,false
85,Group 1,34,Taboão da Serra,,false
86,Group 1,71,Lesnoy,82092,false
87,The Avengers,5,Zipárion,78237,false
88,Group 1,27,Bolikhan,70565,true
89,Team A,81,Changyi,72458,false
90,Squadron X,97,Chixi,29824,false
